tA,vA,fA,pA,qA,aA
0,520.24292,60.000015,119.998421,-4.968486,69.538742
0.0333333,520.242859,60.000027,119.998421,-4.968126,69.53891
0.0666667,520.242798,60.00008,119.971931,-4.97741,69.540268
0.1,520.25,60.000156,119.944778,-4.961272,69.542839
0.1333334,520.254395,60.000237,119.902588,-4.98171,69.546425
0.1666667,520.242126,60.000278,119.880714,-4.966834,69.550026
0.2,520.230042,60.000298,119.87822,-4.959171,69.553627
0.2333333,520.217957,60.000309,119.892647,-4.93574,69.557243
0.2666666,520.205811,60.000313,119.907082,-4.912306,69.56086
0.2999999,520.197144,60.000305,119.924736,-4.912201,69.564316
0.3333332,520.199097,60.000263,119.981041,-4.905813,69.566742
0.3666665,520.201172,60.00024,120.027672,-4.895825,69.56916
0.3999998,520.203186,60.000195,120.083931,-4.890971,69.570847
0.4333331,520.195801,60.000156,120.118591,-4.879809,69.572067
0.4666664,520.185242,60.000137,120.133163,-4.861405,69.573273
0.4999997,520.174622,60.000118,120.15493,-4.823956,69.574333
0.533333,520.164124,60.000069,120.159721,-4.804463,69.574348
0.5666663,520.153687,60.000042,120.147614,-4.800763,69.574348
0.5999996,520.149963,60.000023,120.13459,-4.774462,69.574196
0.6333329,520.148865,59.999969,120.114861,-4.769769,69.57299
0.6666662,520.147583,59.999943,120.078186,-4.780851,69.57177
0.6999995,520.14624,59.999928,120.041527,-4.791934,69.570557
0.7333328,520.157043,59.999889,120.017258,-4.808228,69.568626
0.7666661,520.171875,59.999855,119.977013,-4.841224,69.566269
0.7999994,520.186707,59.999836,119.953644,-4.85846,69.563904
0.8333327,520.195862,59.999828,119.93618,-4.85626,69.561546
0.866666,520.187439,59.999825,119.924355,-4.857496,69.559196
0.8999993,520.179138,59.999825,119.929466,-4.842965,69.556847
0.9333326,520.163208,59.999821,119.932816,-4.828361,69.554504
0.9666659,520.144836,59.999821,119.959724,-4.778594,69.552162
0.9999992,520.12616,59.999821,119.972122,-4.767575,69.54982
1.0333329,520.107666,59.999821,119.991806,-4.737189,69.547485
1.0666667,520.093018,59.999821,120.014786,-4.729808,69.545143
1.1000005,520.089844,59.999821,120.03801,-4.699577,69.542801
1.1333343,520.086792,59.999821,120.037102,-4.704464,69.540459
1.1666681,520.083618,59.999821,120.036186,-4.709359,69.538109
1.2000018,520.080444,59.999821,120.04248,-4.694885,69.535759
1.2333356,520.077332,59.999821,120.041573,-4.699783,69.533409
1.2666694,520.074219,59.999821,120.0382,-4.681705,69.531052
1.3000032,520.071106,59.999821,120.027611,-4.682991,69.528702
1.3333369,520.067566,59.999821,120.014481,-4.661299,69.526352
1.3666707,520.065857,59.999821,120.004211,-4.662601,69.523994
1.4000045,520.070068,59.999813,119.995293,-4.664269,69.521484
1.4333383,520.074158,59.999767,119.995949,-4.671751,69.517937
1.4666721,520.078369,59.999744,120.006302,-4.682843,69.514381
1.5000058,520.08252,59.999733,120.014214,-4.670959,69.510834
1.5333396,520.088867,59.999725,120.015381,-4.678455,69.507278
1.5666734,520.101563,59.999725,120.01078,-4.70537,69.503731
1.6000072,520.114319,59.999722,120.013443,-4.712928,69.500175
1.633341,520.125916,59.999722,120.015823,-4.720479,69.49662
1.6666747,520.134216,59.999722,120.015015,-4.705015,69.493065
1.7000085,520.142517,59.999687,120.028671,-4.74071,69.488762
1.7333423,520.150818,59.999653,120.037445,-4.731377,69.484009
1.7666761,520.159058,59.999638,120.038963,-4.741414,69.479256
1.8000098,520.170288,59.99963,120.041145,-4.751479,69.474503
1.8333436,520.17749,59.999626,120.040001,-4.738533,69.469749
1.8666774,520.170776,59.999622,120.04287,-4.706091,69.464989
1.9000112,520.163879,59.999622,120.02153,-4.708744,69.460236
1.933345,520.168762,59.99963,120.002922,-4.711191,69.455627
1.9666787,520.177612,59.999676,119.985321,-4.711493,69.452049
2.0000124,520.18634,59.999699,119.95076,-4.727504,69.448494
2.0333452,520.195068,59.99971,119.925858,-4.747138,69.444939
2.066678,520.203918,59.999748,119.901062,-4.765205,69.442116
2.1000109,520.212708,59.999786,119.885933,-4.785941,69.439758
2.1333437,520.198669,59.999802,119.887352,-4.748386,69.437416
2.1666765,520.184021,59.999813,119.90799,-4.718074,69.435074
2.2000093,520.191162,59.999851,119.919167,-4.725164,69.433449
2.2333422,520.182983,59.999878,119.934105,-4.712177,69.432106
2.266675,520.17627,59.999847,119.968666,-4.708561,69.429764
2.3000078,520.188904,59.999836,120.010086,-4.728097,69.427429
2.3333406,520.179077,59.999821,120.039078,-4.678799,69.424934
2.3666735,520.161804,59.999771,120.078362,-4.658262,69.421402
2.4000063,520.144531,59.999748,120.115234,-4.614744,69.417862
2.4333391,520.132629,59.999725,120.129135,-4.606661,69.414162
2.4666719,520.13678,59.999672,120.146645,-4.600965,69.409401
2.5000048,520.140869,59.999645,120.137535,-4.607334,69.404648
2.5333376,520.145142,59.999668,120.109177,-4.604896,69.400627
2.5666704,520.135498,59.999695,120.058311,-4.594114,69.397064
2.6000032,520.121399,59.999741,119.996788,-4.578078,69.394241
2.6333361,520.1073,59.999779,119.944977,-4.564724,69.391869
2.6666689,520.097229,59.999809,119.903816,-4.554733,69.389648
2.7000017,520.099426,59.999863,119.860634,-4.585078,69.388435
2.7333345,520.101563,59.999889,119.834412,-4.599699,69.387222
2.7666674,520.103638,59.999939,119.808235,-4.612725,69.386772
2.8000002,520.105896,59.999977,119.808746,-4.612743,69.386772
2.833333,520.108032,60.000034,119.811714,-4.634157,69.387535
2.8666658,520.110229,60.000076,119.838928,-4.61958,69.388741
2.8999987,520.112183,60.000134,119.868553,-4.626359,69.390724
2.9333315,520.113098,60.000175,119.91494,-4.616518,69.393143
2.9666643,520.115234,60.000198,119.95192,-4.603041,69.395561
2.9999971,520.120911,60.000206,120.00177,-4.616204,69.39798
3.03333,520.117859,60.000179,120.054459,-4.588482,69.399673
3.0666628,520.112061,60.000149,120.106438,-4.561718,69.400894
3.0999956,520.10614,60.000134,120.151115,-4.554312,69.402107
3.1333284,520.101685,60.000118,120.174408,-4.516956,69.403191
3.1666613,520.101501,60.000069,120.191299,-4.501227,69.403198
3.1999941,520.101257,60.000034,120.198502,-4.482184,69.403053
3.2333269,520.097717,59.999977,120.187927,-4.481037,69.401848
3.2666597,520.084106,59.999939,120.162918,-4.453492,69.400505
3.2999926,520.070313,59.999878,120.13781,-4.428081,69.39814
3.3333254,520.068604,59.99984,120.115486,-4.40308,69.39563
3.3666582,520.070862,59.999779,120.079437,-4.419013,69.392059
3.399991,520.073303,59.999714,120.050644,-4.417173,69.387741
3.4333239,520.073364,59.999668,120.014,-4.435585,69.38298
3.4666567,520.067017,59.999645,119.990448,-4.415246,69.37822
3.4999895,520.061768,59.999622,119.976791,-4.398879,69.373299
3.5333223,520.060242,59.999569,119.966301,-4.40781,69.367287
3.5666552,520.058716,59.999542,119.955803,-4.416741,69.361282
3.599988,520.059875,59.999527,119.972588,-4.413641,69.355263
