tA,vA,fA,pA,qA,aA
0,544.216187,60.000015,564.981445,-24.18227,69.601646
0.0333333,544.239502,60.000015,565.010803,-24.231432,69.601639
0.0666667,544.243286,60.000015,564.979431,-24.264673,69.601631
0.1,544.265442,60.000233,564.847534,-24.301712,69.60611
0.1333334,544.248169,60.000408,564.660461,-24.163252,69.613579
0.1666667,544.263367,60.000214,564.848572,-24.227619,69.613617
0.2,544.246094,60.000118,565.002747,-24.198078,69.613655
0.2333333,544.23407,60.000069,565.127014,-24.2019,69.613686
0.2666666,544.229309,60.000042,565.177917,-24.268414,69.613701
0.2999999,544.252075,60.000031,565.216919,-24.321308,69.613701
0.3333332,544.284058,60.000023,565.149292,-24.47015,69.613678
0.3666665,544.288879,60.000019,565.027649,-24.469742,69.613647
0.3999998,544.25708,59.999802,565.027954,-24.386845,69.609184
0.4333331,544.23761,59.999626,565.115723,-24.408432,69.601746
0.4666664,544.231445,59.999821,564.977539,-24.359461,69.601715
0.4999997,544.2276,59.99992,564.857117,-24.362362,69.601692
0.533333,544.244934,59.999966,564.854919,-24.355726,69.601685
0.5666663,544.214539,59.999779,564.937561,-24.302813,69.597252
0.5999996,544.193359,59.999615,565.129944,-24.317524,69.589828
0.6333329,544.187622,59.999817,565.078247,-24.254236,69.589821
0.6666662,544.232849,59.999916,565.024353,-24.403601,69.58979
0.6999995,544.245667,59.999966,564.941467,-24.414785,69.58976
0.7333328,544.263489,59.999989,564.894226,-24.437479,69.589745
0.7666661,544.239868,60.000004,564.823975,-24.373272,69.589745
0.7999994,544.248779,60.000011,564.863586,-24.384918,69.589752
0.8333327,544.295044,60.000015,564.962585,-24.498262,69.589752
0.866666,544.327454,60.000015,565.006531,-24.59594,69.589745
0.8999993,544.352661,60.000015,564.992432,-24.674536,69.589729
0.9333326,544.350342,59.999802,565.069214,-24.748461,69.585281
0.9666659,544.338806,59.999413,565.320374,-24.826353,69.573418
0.9999992,544.327393,59.999432,565.295105,-24.895651,69.565956
1.0333329,544.337219,59.999508,565.156555,-24.931982,69.561455
1.0666667,544.360596,59.999477,565.05603,-25.054121,69.553955
1.1000005,544.358704,59.999531,564.879883,-25.034386,69.549431
1.1333343,544.347412,59.999279,564.953979,-25.092846,69.537529
1.1666681,544.357544,59.999153,565.065552,-25.204044,69.525642
1.2000018,544.374573,59.999088,565.123535,-25.293106,69.513733
1.2333356,544.391724,59.999054,565.130981,-25.363386,69.501808
1.2666694,544.408997,59.999039,565.057495,-25.495869,69.489883
1.3000032,544.398438,59.999031,564.980408,-25.497845,69.477951
1.3333369,544.400024,59.999027,564.931152,-25.552187,69.466034
1.3666707,544.38739,59.999027,564.892517,-25.569069,69.454117
1.4000045,544.367859,59.999027,564.892151,-25.556364,69.442215
1.4333383,544.376038,59.999023,564.95105,-25.64879,69.430313
1.4666721,544.393372,59.999237,564.894775,-25.696627,69.422844
1.5000058,544.368774,59.999626,564.606018,-25.597149,69.422791
1.5333396,544.330017,59.999821,564.484802,-25.472635,69.422783
1.5666734,544.319275,60.000137,564.475708,-25.335232,69.427299
1.6000072,544.317688,60.000362,564.538147,-25.283886,69.434814
1.633341,544.301819,60.000408,564.761597,-25.281096,69.439392
1.6666747,544.309082,60.000931,564.7005,-25.228697,69.455917
1.7000085,544.325806,60.001259,564.630371,-25.232203,69.475426
1.7333423,544.321655,60.001141,564.874451,-25.203953,69.487503
1.7666761,544.31073,60.001083,565.106506,-25.219574,69.499573
1.8000098,544.293274,60.001053,565.250793,-25.204681,69.511642
1.8333436,544.273804,60.001034,565.271362,-25.236872,69.523674
1.8666774,544.254517,60.001026,565.246704,-25.205952,69.535698
1.9000112,544.228516,60.000805,565.304077,-25.160767,69.543221
1.933345,544.200317,60.000412,565.497498,-25.149662,69.543274
1.9666787,544.213928,60.000214,565.547424,-25.302013,69.543289
2.0000124,544.213745,59.999901,565.555359,-25.349976,69.538811
2.0333452,544.176453,59.999462,565.592102,-25.311232,69.526901
2.066678,544.157898,59.999241,565.496521,-25.309202,69.514977
2.1000109,544.141724,59.99913,565.286987,-25.310188,69.503029
2.1333437,544.172058,59.999077,565.120789,-25.357628,69.491066
2.1666765,544.190735,59.998833,565.051819,-25.398272,69.474602
2.2000093,544.151367,59.998642,565.007263,-25.26651,69.455177
2.2333422,544.144592,59.998833,564.817932,-25.179094,69.44323
2.266675,544.133179,59.998928,564.684448,-25.113987,69.43129
2.3000078,544.163696,59.998978,564.731079,-25.148073,69.41938
2.3333406,544.182434,59.999001,564.801086,-25.148636,69.407471
2.3666735,544.191895,59.999012,564.881653,-25.156351,69.395576
2.4000063,544.17334,59.998802,565.078186,-25.123751,69.379173
2.4333391,544.173279,59.998413,565.416992,-25.259626,69.355316
2.4666719,544.182556,59.998219,565.603638,-25.33555,69.331421
2.5000048,544.212585,59.998119,565.553345,-25.546673,69.307465
2.5333376,544.200989,59.99807,565.328857,-25.521564,69.283493
2.5666704,544.187012,59.998043,565.071594,-25.484732,69.259499
2.6000032,544.156738,59.998032,564.843201,-25.417852,69.235535
2.6333361,544.168335,59.998028,564.790039,-25.402493,69.211578
2.6666689,544.203186,59.998024,564.806213,-25.451588,69.187637
2.7000017,544.184753,59.998024,564.803223,-25.372839,69.163712
2.7333345,544.196167,59.998024,564.881531,-25.407114,69.139786
2.7666674,544.196045,59.998024,564.947815,-25.440847,69.115868
2.8000002,544.214478,59.998024,565.033386,-25.475601,69.091949
2.833333,544.242126,59.998024,565.087769,-25.587866,69.068016
2.8666658,544.269897,59.998024,565.065979,-25.717503,69.044067
2.8999987,544.276855,59.99802,565.013306,-25.749884,69.020126
2.9333315,544.297546,59.99802,564.995178,-25.790623,68.99617
2.9666643,544.304504,59.99802,564.942566,-25.822914,68.972221
2.9999971,544.276611,59.99802,564.88501,-25.772604,68.948288
3.03333,544.267334,59.998238,564.782959,-25.700184,68.92881
3.0666628,544.295166,59.998413,564.719116,-25.784367,68.912361
3.0999956,544.311462,59.998219,564.934204,-25.869411,68.888481
3.1333284,544.265015,59.998123,565.060547,-25.80331,68.864601
3.1666613,544.227844,59.998074,565.186401,-25.733999,68.840706
3.1999941,544.248657,59.998047,565.294434,-25.869429,68.816788
3.2333269,544.257813,59.998035,565.279602,-25.961607,68.792847
3.2666597,544.257751,59.998028,565.18457,-26.026031,68.768906
3.2999926,544.25769,59.998024,565.064941,-26.034489,68.744942
3.3333254,544.250671,59.998024,564.96405,-26.006069,68.720993
3.3666582,544.241333,59.99802,564.916809,-25.952785,68.697044
3.399991,544.224854,59.998024,564.892517,-25.910816,68.673119
3.4333239,544.233948,59.998024,564.939636,-25.933922,68.649193
3.4666567,544.245361,59.998024,565.009399,-25.96504,68.625267
3.4999895,544.282104,59.997593,565.307068,-26.212696,68.5924
3.5333223,544.272278,59.996811,565.837158,-26.347082,68.544601
3.5666552,544.272034,59.996845,565.767212,-26.478943,68.505653
3.599988,544.302063,59.997002,565.350464,-26.63587,68.472633
3.6333208,544.318176,59.996941,565.086548,-26.68519,68.433632
3.6666536,544.355652,59.997475,564.480591,-26.673853,68.409546
3.6999865,544.360657,59.997746,564.101807,-26.530382,68.385521
3.7333193,544.400208,59.997883,564.10083,-26.523235,68.361565
3.7666521,544.414429,59.998169,564.18219,-26.466152,68.342117
3.7999849,544.442444,59.998596,564.24353,-26.460287,68.330193
3.8333178,544.465576,59.999027,564.320374,-26.510548,68.322746
3.8666506,544.491028,59.999523,564.382813,-26.479603,68.322739
3.8999834,544.470337,59.999771,564.539978,-26.409435,68.322792
3.9333162,544.412292,59.999897,564.760803,-26.284727,68.322861
3.9666491,544.403137,60.000175,564.964417,-26.32336,68.327415
3.9999819,544.412659,60.000599,564.952087,-26.33399,68.339424
4.0333147,544.422424,60.000809,564.960022,-26.35256,68.35144
4.0666475,544.404358,60.000698,565.105652,-26.341005,68.359001
4.0999804,544.377136,60.000359,565.426941,-26.337803,68.359093
4.1333132,544.363586,59.999977,565.718201,-26.455984,68.354698
4.166646,544.32666,59.9995,565.959412,-26.498217,68.34285
4.1999788,544.252563,59.999046,566.004822,-26.475147,68.326485
4.2333117,544.210693,59.998535,566.080383,-26.528156,68.302597
4.2666445,544.182739,59.998276,565.897339,-26.566965,68.278641
4.2999773,544.16864,59.998146,565.568115,-26.542616,68.254639
4.3333101,544.15918,59.998081,565.199585,-26.45413,68.230621
4.366643,544.170532,59.998047,564.893127,-26.382357,68.206612
4.3999758,544.188904,59.998032,564.704285,-26.354668,68.182625
4.4333086,544.200378,59.998028,564.631104,-26.282057,68.158684
4.4666414,544.216309,59.998024,564.673096,-26.253656,68.13475
4.4999743,544.23468,59.998024,564.787842,-26.253515,68.110825
4.5333071,544.253052,59.998024,564.932922,-26.265448,68.086914
4.5666399,544.264282,59.998024,565.034363,-26.309277,68.063004
4.5999727,544.301025,59.998024,565.130127,-26.434761,68.039078
